Suburb,Address,PropertyType,Bedrooms,Bathrooms,CarSpaces,LandSize_m2,SaleDate,SoldPrice_AUD,SourceURL
Burwood,"50 Finch Street, Burwood, Vic 3125",House,3,1,3,590,2024-12-16,"$1,155,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146442916
Burwood,"64 Eley Road, Burwood, Vic 3125",House,4,1,1,603,2024-11-23,"$1,236,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146443056
Burwood,"11 Rees Street, Burwood, Vic 3125",House,4,2,2,590,2024-11-16,"$1,390,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146311140
Burwood,"126 Highbury Road, Burwood, Vic 3125",House,3,1,4,489,2024-11-09,"$1,100,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146303884
Burwood,"31 Patterson Avenue, Burwood, Vic 3125",House,4,2,3,777,2024-10-26,"$2,232,500.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146164020
Burwood,"14 Kilsyth Avenue, Burwood, Vic 3125",House,3,1,2,609,2024-10-26,"$1,280,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146050884
Burwood,"26 Cypress Avenue, Burwood, Vic 3125",House,4,2,2,568,2024-10-16,"$1,280,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-146063796
Burwood,"41 Brockhoff Drive, Burwood, Vic 3125",House,4,2,2,572,2024-10-15,"$1,615,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-145788408
Burwood,"74 Eley Road, Burwood, Vic 3125",House,4,2,4,922,2024-10-05,"$1,653,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-145976420
Burwood,"5 Burn Nar Look Drive, Burwood, Vic 3125",House,4,2,2,224,2024-10-05,"$1,203,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-145947572
Burwood,"14 Sparks Avenue, Burwood, Vic 3125",House,4,2,4,602,2024-09-14,"$1,390,000.00 ",https://www.realestate.com.au/sold/property-house-vic-burwood-145786172
Burwood,"3/79 Middleborough Road, Burwood, Vic 3125",Townhouse,3,2,3,278,2024-09-07,"$1,005,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-145789000
Burwood,"7/17-19 Renown Street, Burwood, Vic 3125",Townhouse,3,2,2,193,2024-10-31,"$955,000.00 ",https://www.realestate.com.au/sold/property-townhouse-vic-burwood-145955524
